Food,FoodCalories,FoodProtein,FoodCarb,FoodFat
Cows' milk,67.62295082,3.278688525,4.918032787,4.098360656
Milk skim,36.58536585,3.658536585,5.284552846,0
Buttermilk,51.62601626,3.658536585,5.284552846,2.032520325
"Evaporated, undiluted",136.9047619,6.349206349,9.523809524,7.936507937
Fortified milk,96.75828048,6.272022551,8.386187456,2.959830867
Powdered milk,500,26.21359223,37.86407767,27.18446602
"skim, instant",341.1764706,35.29411765,49.41176471,0
"skim, non-instant",341.1764706,35.29411765,49.41176471,0
Goats' milk,67.62295082,3.278688525,4.508196721,4.098360656
(1/2 cup ice cream),127.7777778,4.444444444,12.96296296,4.444444444
Cocoa,93.25396825,3.174603175,10.31746032,4.365079365
skim. milk,51.2,7.2,5.2,1.6
(cornstarch),110.8870968,3.629032258,16.12903226,4.032258065
Custard,114.9193548,5.241935484,11.29032258,5.64516129
Ice cream,159.5744681,3.191489362,15.42553191,9.574468085
Ice milk,144.7368421,4.736842105,16.84210526,5.263157895
Cream or half-and-half,141.6666667,3.333333333,4.166666667,12.5
or whipping,361.3445378,1.680672269,2.521008403,36.97478992
Cheese,106.6666667,13.33333333,2.666666667,4.888888889
uncreamed,86.66666667,16.88888889,2.666666667,0
Cheddar,411.7647059,23.52941176,0,35.29411765
"Cheddar, grated cup",403.5714286,25,1.785714286,33.92857143
Cream cheese,375,7.142857143,3.571428571,39.28571429
Processed cheese,375,25,0,32.14285714
Roquefort type,375,21.42857143,0,32.14285714
Swiss,375,25,0,28.57142857
Eggs raw,150,12,0,12
Eggs Scrambled or fried,171.875,10.15625,0.78125,12.5
Yolks,352.9411765,17.64705882,0,29.41176471
Butter,714.2857143,0,0,78.57142857
Butter,100.8928571,101.7857143,105.3571429,102.6785714
Butter,100.8928571,101.7857143,105.3571429,102.6785714
Hydrogenated cooking fat,665,0,0,100
Lard,901.8181818,0,0,100
Margarine,719.6428571,0,0,81.25
"Margarine, 2 pat or",714.2857143,0,0,78.57142857
Mayonnaise,733.3333333,0,0,80
Corn oil,892.8571429,0,0,100
Olive oil,892.8571429,0,0,100
Safflower seed oil,892.8571429,0,0,100
French dressing,400,0,13.33333333,40
Thousand Island sauce,500,0,6.666666667,53.33333333
Salt pork,783.3333333,5,0,91.66666667
Bacon,593.75,25,6.25,50
Beef,288.2352941,27.05882353,0,18.82352941
Hamburger,288.2352941,24.70588235,0,20
Ground lean,217.6470588,28.23529412,0,11.76470588
Roast beef,458.8235294,18.82352941,0,42.35294118
Steak,388.2352941,23.52941176,0,31.76470588
"Steak, lean, as round",258.8235294,28.23529412,0,14.11764706
Corned beef,217.6470588,25.88235294,0,11.76470588
Corned beef hash canned,141.1764706,14.11764706,7.058823529,9.411764706
Corned beef hash Dried,205.3571429,33.92857143,0,7.142857143
Pot-pie,211.4537445,7.929515419,14.0969163,12.33480176
Corned beef hash Stew,78.72340426,6.382978723,6.382978723,4.255319149
chicken,217.6470588,27.05882353,0,10.58823529
"Fried, breast or leg and thigh chicken",288.2352941,29.41176471,0,17.64705882
Roasted chicken,290,25,0,20
"Chicken livers, fried",140,22,2.3,14
"Duck, domestic",370,16,0,28
"Lamb, chop, broiled",417.3913043,20.86956522,0,30.43478261
Leg roasted,365.1162791,23.25581395,0,16.27906977
"Shoulder, braised",335.2941176,21.17647059,0,27.05882353
"Pork, chop, 1 thick",260,16,0,21
Ham pan-broiled,341.1764706,18.82352941,0,25.88235294
"Ham, as ",298.245614,22.80701754,0,22.80701754
"Ham, canned, spiced",289.4736842,14.03508772,1.754385965,24.56140351
Pork roast,364.7058824,24.70588235,0,28.23529412
Pork sausage,475,18,0,44
Turkey,265,27,0,15
Veal,217.6470588,27.05882353,0,10.58823529
Roast,358.8235294,15.29411765,0,16.47058824
Clams,102.3529412,14.11764706,2.352941176,1.176470588
Cod,170,28,0,5
Crab meat,105.8823529,16.47058824,1.176470588,2.352941176
Fish sticks fried,178.5714286,16.96428571,7.142857143,8.928571429
Flounder,200,30,0,8
Haddock,158.8235294,18.82352941,7.058823529,5.882352941
Halibut,182,26,0,8
Herring,211,22,0,13
Lobster,92,18,0,1
Mackerel,182.3529412,21.17647059,0,10.58823529
Oysters,100.4347826,100.8695652,102.6086957,101.3043478
Oyster stew,147.0588235,22.35294118,0,7.058823529
Salmon,141.1764706,20,0,5.882352941
Sardines,211.7647059,25.88235294,0,10.58823529
Scallops,104,18,10,8
Shad,200,23.52941176,0,11.76470588
Shrimp,129.4117647,27.05882353,0,1.176470588
Swordfish,180,27,0,6
Tuna,200,29.41176471,0,8.235294118
Artichoke,16285,2,10,0
Asparagus,18.75,1.041666667,3.125,0
Beans,20,0.8,4.8,0
Lima,87.5,5,15,0
"Lima, dry, cooked",135.4166667,8.333333333,25,0
"Navy, baked with pork",125,5.5,18.5,3
Red kidney,88.46153846,5.769230769,16.15384615,0.384615385
Bean sprouts,34,2,6,0
Beet greens,27,2,6,0
Beetroots,0.606060606,7.272727273,0.484848485,0
Broccoli,30,3.333333333,5.333333333,0
Brussels sprouts,46.15384615,4.615384615,9.230769231,0
Sauerkraut,21.33333333,0.666666667,4.666666667,0
Steamed cabbage,23.52941176,1.176470588,5.294117647,0
Carrots,30,0.666666667,6.666666667,0
"Raw, grated",40.90909091,0.909090909,9.090909091,0
"Strips, from raw",40,0,10,0
Cauliflower,25,2.5,5,0
Celery,20,1,4,0
Stalk raw,12.5,2.5,2.5,0
Chard steamed,20,1.333333333,4.666666667,0
Collards,34,3.333333333,5.333333333,0
Corn,92,3,21,1
cooked or canned,85,2.5,20.5,0
Cucumbers,12,0,2,0
Dandelion greens,44.44444444,2.777777778,8.888888889,0.555555556
Eggplant,16.66666667,1.111111111,5,0
Endive,17.54385965,1.754385965,3.50877193,0
Kale,40.90909091,3.636363636,7.272727273,0.909090909
Kohlrabi,28.57142857,1.428571429,6.428571429,0
"Lambs quarters, steamed",32,3.333333333,4.666666667,0
Lentils,106,7.5,19,0
Lettuce,14,1,2,0
Iceberg,13,0,3,0
Mushrooms canned,10,1.666666667,3.333333333,0
Mustard greens,21.42857143,2.142857143,4.285714286,0
Okra,32,1,7,0
Onions,38.0952381,0.952380952,8.571428571,0
"Raw, green",44,0,10,0
Parsley,4,0,0,0
Parsnips,61.29032258,1.290322581,14.19354839,0.64516129
Peas,66,3,13,0
"Fresh, steamed peas",70,5,12,0
Frozen peas,0,5,12,0
Split cooked peas,115,8,21,0
heated peas,53,3,10,0
Peppers canned,26.31578947,0,5.263157895,0
"Peppers Raw, green, sweet",25,1,6,0
Peppers with beef and crumbs,170,12.66666667,16,6
"Potatoes, baked",100,2,22,0
French-fried,258.3333333,-4.444444444,33.33333333,11.66666667
Potatoes Mashed with milk and butter,115,2,14,6
"Potatoes, pan-tried",268,4,33,14
Scalloped with cheese potatoes,145,6,14,8
Steamed potatoes before peeling,80,2,19,0
Potato chips,550,5,50,35
Radishes,20,0,4,0
Rutabagas,32,0,8,0
Soybeans,130,11,10,5.5
Spinach,26,3,3,0
Squash,16.66666667,0.476190476,3.80952381,0
"Winter, mashed",47.5,2,11.5,0
Sweet potatoes,140.9090909,1.818181818,32.72727273,0.909090909
Candied,134.2857143,1.142857143,45.71428571,3.428571429
Tomatoes,20.83333333,0.833333333,3.75,0
"Raw, 2 by 2 1/2",20,0.666666667,4,0
Tomato juice,20.83333333,0.833333333,4.166666667,0
Tomato catsup,88.23529412,0,23.52941176,0
Turnip greens,31.03448276,2.75862069,5.517241379,0.689655172
"Turnips, steamed",25.80645161,0.64516129,5.806451613,0
"Watercress stems, raw",18,2,2,0
Apple juice canned,50,0,13.6,0
Apple vinegar,14,0,3,0
"Apples, raw",53.84615385,0,13.84615385,0
Stewed or canned,41.66666667,0,10.83333333,0
Apricots,88,0.8,22.8,0
"Dried, uncooked",293.3333333,5.333333333,66.66666667,0
Fresh,48.24561404,0.877192982,12.28070175,0
"Nectar, or juice",56,0.4,14.4,0
Avocado,171.2962963,1.851851852,5.555555556,16.66666667
Banana,56.66666667,0.666666667,15.33333333,0
Blackberries,59.02777778,1.388888889,13.19444444,0.694444444
Blueberries,98,0.4,26,0
Cantaloupe,10.52631579,0.263157895,2.368421053,0
Cherries,38.91050584,0.778210117,10.11673152,0.389105058
"Fresh, raw",57.01754386,0.877192982,13.15789474,0
Cranberry sauce sweetened,191.3357401,0,51.26353791,0
Dates,283.7078652,2.247191011,75.28089888,0
Figs,285.7142857,4.761904762,71.42857143,0
"Fresh, raw figs",78.94736842,1.754385965,19.29824561,0
figs Canned with syrup ,113.0434783,0.869565217,27.82608696,0
"Fruit cocktail, canned",76.171875,0.390625,19.53125,0
Grapefruit sections,68,0.4,17.6,0
"Grapefruit, fresh, 5"" diameter",17.54385965,0.350877193,4.912280702,0
Grapefruit juice,40,0.4,9.6,0
Grapes,45.75163399,0.653594771,10.45751634,0
"European, as Muscat, Tokay",62.5,0.625,16.25,0
Grape juice,64,0.4,16.8,0
Lemon juice,24,0,8,0
Lemonade concentratefrozen,195.4545455,0,50.90909091,0
Limeade concentrate frozen,185.7798165,0,49.5412844,0
Olives large,110.7692308,1.538461538,4.615384615,15.38461538
OlivesRipe,161.5384615,1.538461538,1.538461538,20
"Oranges 3"" diameter",33.33333333,1.111111111,8.888888889,0
Orange juice,44.8,0.8,10,0
Frozen ,157.1428571,0.952380952,37.14285714,0
Papaya,37.5,0.5,9,0
Peaches,77.82101167,0.389105058,20.23346304,0
"Fresh, raw",30.70175439,0.877192982,8.771929825,0
Pears,76.47058824,0.392156863,19.60784314,0
"Raw, 3 by 2V",54.94505495,0.549450549,13.73626374,0.549450549
Persimmons,60,0.8,16,0
Pineapple,77.86885246,0,21.31147541,0
Pineapple Crushed,78.84615385,0.384615385,21.15384615,0
"Raw, diced",53.57142857,0.714285714,13.57142857,0
Pineapple juice,48,0.4,12.8,0
Plums,72.265625,0.390625,19.53125,0
"Raw, 2"" diameter",50,0,11.66666667,0
Prunes,111.1111111,1.111111111,30,0.37037037
Prune juice,70.83333333,0.416666667,18.75,0
Raisins,261.3636364,2.272727273,93.18181818,0
Raspberries,100,0,25,0
"Raw, red",57,0,14,0
Rhubarb sweetened,142.5925926,0.37037037,36.2962963,0
Strawberries,106.6079295,0.440528634,26.43171806,0
Raw,36.24161074,0,8.053691275,0
Tangerines,35.0877193,0.877192982,8.771929825,0
Watermelon,12.97297297,0.216216216,3.135135135,0.108108108
Biscuits,342.1052632,7.894736842,47.36842105,10.52631579
Bran flakes,468,12,128,0
"Bread, cracked wheat",260.8695652,8.695652174,52.17391304,4.347826087
Rye,239.1304348,8.695652174,52.17391304,4.347826087
"White, 20 slices, or",269.8237885,8.59030837,50.44052863,3.303964758
Whole-wheat,242.2907489,10.57268722,47.57709251,3.083700441
Whole-wheat,239.1304348,8.695652174,47.82608696,4.347826087
Corn bread ground meal,200,6,30,8
Cornflakes,440,8,100,0
Corn grits cooked,49.58677686,3.305785124,11.15702479,0
Corn meal,305.0847458,7.627118644,62.71186441,3.389830508
Crackers,392.8571429,7.142857143,71.42857143,7.142857143
"Soda, 2 1/2 square",409.0909091,9.090909091,72.72727273,9.090909091
Farina,44.11764706,1.260504202,9.243697479,0
Flour,418.1818182,35.45454545,30,20
Wheat (all purpose),363.6363636,10.90909091,76.36363636,0.909090909
Wheat (whole),325,10.83333333,65.83333333,1.666666667
Macaroni,110.7142857,3.571428571,22.85714286,0.714285714
Baked with cheese,215.9090909,8.181818182,20,11.36363636
Muffins,281.25,8.333333333,39.58333333,10.41666667
Noodles,125,4.375,23.125,1.25
Oatmeal,63.55932203,2.118644068,11.01694915,1.271186441
"Pancakes 4"" diam.",231.4814815,6.481481481,25.92592593,8.333333333
